JOHN   m    1  1   9  31     45     .
DAN    m    2  4  18  46     53    54
LYNN   f    3  1   7  38     33    43
CATHY  f    4  2  12  34     50    32
JAMES  m    5  2  14  31     47    43
TIM    m    6  4  20  45     51    57
HOPE   f    7  4  17  34     46    50
TED    m    8  2  12  44     52    47
SASSY  f    9  4  18  50     57    56
NANCY  f   10  3  15  29     39    42
PAUL   m   11  3  15  24     48    49
LIN    m   12  4  18  48     54    54
TOM    m   13  4  21  48     52    42
BOB    m   14  1  11  32     41    40
